customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,total_charges_outlier_flag,tenure_group,total_addon_services,average_charge_per_month,is_new_customer,has_any_streaming,is_fully_automated_payer,avg_charge_per_month
CUST-00005,Male,No,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Electronic check,29.29,1553.16,No,0,Loyal (49m+),0,29.30490566037736,0,0,0,29.3
CUST-00001,Male,No,No,Yes,61,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-To-Month,No,Credit card,87.04,5303.45,No,0,Loyal (49m+),1,86.94180327868852,0,0,0,86.94
CUST-00002,Female,No,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,No,Credit card,28.63,1944.52,No,0,Loyal (49m+),0,28.595882352941175,0,0,0,28.6
CUST-00003,Male,No,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Credit card,27.85,1736.17,No,0,Loyal (49m+),0,28.002741935483872,0,0,0,28.0
CUST-00004,Male,Yes,Yes,No,1,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic check,67.92,62.16,Yes,0,New (0-12m),2,62.16,1,1,0,62.16
CUST-00006,Female,No,Yes,No,15,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-To-Month,No,Electronic check,68.26,1029.89,No,0,Mid-term (13-24m),2,68.65933333333334,0,1,0,68.66
CUST-00007,Male,Yes,Yes,No,54,No,No phone service,DSL,No,No,No,No,Yes,No,Two Year,Yes,Electronic check,49.91,2685.71,No,0,Loyal (49m+),1,49.73537037037037,0,1,0,49.74
CUST-00008,Male,No,No,Yes,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Mailed check,84.77,3552.44,Yes,0,Established (25-48m),1,84.58190476190477,0,1,0,84.58
CUST-00009,Male,No,No,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Bank transfer,86.68,5194.73,No,0,Loyal (49m+),1,86.57883333333332,0,0,0,86.58
CUST-00010,Female,Yes,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Mailed check,30.98,1145.37,Yes,0,Established (25-48m),0,30.955945945945942,0,0,0,30.96
CUST-00011,Male,No,No,Yes,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two Year,No,Bank transfer,95.99,4213.86,Yes,0,Established (25-48m),2,95.76954545454545,0,1,0,95.77
CUST-00012,Male,Yes,Yes,No,50,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-To-Month,No,Credit card,75.45,3771.13,No,0,Loyal (49m+),1,75.4226,0,0,0,75.42
CUST-00013,Male,No,No,Yes,41,Yes,No,DSL,No,Yes,No,No,No,No,Two Year,Yes,Bank transfer,57.74,2360.57,No,0,Established (25-48m),1,57.57487804878049,0,0,0,57.57
CUST-00014,Male,No,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-To-Month,No,Mailed check,101.24,2335.51,No,0,Mid-term (13-24m),4,101.54391304347827,0,1,0,101.54
CUST-00015,Female,No,No,Yes,29,Yes,No,DSL,No,No,No,No,Yes,No,One Year,Yes,Electronic check,59.29,1719.14,No,0,Established (25-48m),1,59.28068965517242,0,1,0,59.28
CUST-00016,Male,Yes,No,Yes,36,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic check,66.68,2391.9,No,0,Established (25-48m),1,66.44166666666666,0,1,0,66.44
CUST-00017,Female,No,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Mailed check,103.73,5393.22,No,0,Loyal (49m+),4,103.71576923076924,0,1,0,103.72
CUST-00018,Female,No,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Bank transfer,30.85,1912.3,No,0,Loyal (49m+),0,30.843548387096774,0,0,0,30.84
CUST-00019,Female,No,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two Year,No,Mailed check,90.52,901.19,No,0,New (0-12m),1,90.119,0,0,0,90.12
CUST-00020,Male,No,No,Yes,22,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two Year,No,Bank transfer,73.06,1604.68,No,0,Mid-term (13-24m),3,72.94,0,0,0,72.94
CUST-00021,Female,No,No,Yes,49,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-To-Month,Yes,Electronic check,68.18,3350.23,No,0,Loyal (49m+),2,68.37204081632653,0,0,0,68.37
CUST-00022,F,No,No,No,54,Yes,Yes,DSL,No,No,No,Yes,No,No,Two Year,No,Electronic check,67.5,3639.94,No,0,Loyal (49m+),1,67.4062962962963,0,0,0,67.41
CUST-00023,Female,No,Yes,No,54,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-To-Month,Yes,Bank transfer,64.18,3469.25,No,0,Loyal (49m+),2,64.24537037037037,0,0,0,64.25
CUST-00024,Female,No,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Electronic check,74.54,226.84,Yes,0,New (0-12m),4,75.61333333333333,1,1,0,75.61
CUST-00025,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-To-Month,Yes,Bank transfer,91.78,4862.79,No,0,Loyal (49m+),2,91.75075471698113,0,1,0,91.75
CUST-00026,Female,No,No,No,60,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One Year,Yes,Credit card,70.66,4248.24,No,0,Loyal (49m+),2,70.804,0,1,0,70.8
CUST-00027,Female,No,Yes,Yes,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic check,60.9,248.99,No,0,New (0-12m),1,62.2475,0,1,0,62.25
CUST-00028,Female,Yes,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,No,Mailed check,30.68,511.98,Yes,0,Mid-term (13-24m),0,30.116470588235295,0,0,0,30.12
CUST-00029,Female,No,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One Year,No,Bank transfer,89.12,3831.87,No,0,Established (25-48m),1,89.11325581395349,0,1,0,89.11
CUST-00030,Female,Yes,No,Yes,30,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two Year,No,Bank transfer,76.65,2291.78,No,0,Established (25-48m),3,76.39266666666667,0,1,0,76.39
CUST-00031,Male,No,No,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One Year,Yes,Electronic check,87.67,1749.14,No,0,Mid-term (13-24m),1,87.45700000000001,0,0,0,87.46
CUST-00032,Male,No,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two Year,No,Credit card,89.34,4104.41,No,0,Established (25-48m),2,89.22630434782609,0,1,0,89.23
CUST-00033,M,No,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-To-Month,No,Electronic check,92.27,2680.94,Yes,0,Established (25-48m),2,92.44620689655173,0,1,0,92.45
CUST-00034,Female,No,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,No,Electronic check,34.39,1852.04,Yes,0,Loyal (49m+),0,34.297037037037036,0,0,0,34.3
CUST-00035,Female,No,No,No,67,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic check,87.58,5877.72,No,0,Loyal (49m+),4,87.72716417910448,0,1,0,87.73
CUST-00036,Male,No,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One Year,No,Electronic check,98.46,6687.85,No,0,Loyal (49m+),4,98.35073529411765,0,1,0,98.35
CUST-00037,Female,No,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Electronic check,37.22,1487.03,No,0,Established (25-48m),0,37.17575,0,0,0,37.18
